col,tab
QBrec,nfl_season_player_passing_stats_2014
Comb,nfl_season_player_defense_stats_1980
Solo,nfl_season_player_defense_stats_1980
Ast,nfl_season_player_defense_stats_1980
Ctch%,nfl_season_player_receiving_stats_1995
Ctch%,nfl_season_player_receiving_stats_2016
Ctch%,nfl_season_player_receiving_stats_2019
Ctch%,nfl_season_player_receiving_stats_2006
Ctch%,nfl_season_player_scrimmage_stats_2018
QBrec,nfl_season_player_passing_stats_2009
QBrec,nfl_season_player_passing_stats_2000
QBrec,nfl_season_player_passing_stats_2013
Ctch%,nfl_season_player_receiving_stats_2005
QBrec,nfl_season_player_passing_stats_2016
QBrec,nfl_season_player_passing_stats_2021
QBrec,nfl_season_player_passing_stats_1991
Ctch%,nfl_season_player_receiving_stats_1994
QBrec,nfl_season_player_passing_stats_1981
Ctch%,nfl_season_player_scrimmage_stats_2020
Ctch%,nfl_season_player_scrimmage_stats_2016
QBrec,nfl_season_player_passing_stats_2019
QBrec,nfl_season_player_passing_stats_1990
Ctch%,nfl_season_player_scrimmage_stats_2000
QBrec,nfl_season_player_passing_stats_1987
Ctch%,nfl_season_player_receiving_stats_2007
Ctch%,nfl_season_player_scrimmage_stats_1994
Ctch%,nfl_season_player_scrimmage_stats_2004
Ctch%,nfl_season_player_scrimmage_stats_2014
QBrec,nfl_season_player_passing_stats_1985
QBrec,nfl_season_player_passing_stats_1994
QBrec,nfl_season_player_passing_stats_1982
Ctch%,nfl_season_player_scrimmage_stats_2003
Ctch%,nfl_season_player_scrimmage_stats_2021
Ctch%,nfl_season_player_scrimmage_stats_1995
Ctch%,nfl_season_player_scrimmage_stats_2006
Ctch%,nfl_season_player_scrimmage_stats_2017
Ctch%,nfl_season_player_receiving_stats_2015
Ctch%,nfl_season_player_scrimmage_stats_2013
Ctch%,nfl_season_player_receiving_stats_2020
Ctch%,nfl_season_player_scrimmage_stats_2002
QBrec,nfl_season_player_passing_stats_2005
Ctch%,nfl_season_player_scrimmage_stats_2011
Ctch%,nfl_season_player_scrimmage_stats_2009
QBrec,nfl_season_player_passing_stats_2010
QBrec,nfl_season_player_passing_stats_1980
Ctch%,nfl_season_player_receiving_stats_2009
Ctch%,nfl_season_player_receiving_stats_1993
Ctch%,nfl_season_player_receiving_stats_2022
QBrec,nfl_season_player_passing_stats_2017
Ctch%,nfl_season_player_receiving_stats_2011
Ctch%,nfl_season_player_receiving_stats_2018
QBrec,nfl_season_player_passing_stats_1997
QBrec,nfl_season_player_passing_stats_1992
Ctch%,nfl_season_player_scrimmage_stats_2022
QBrec,nfl_season_player_passing_stats_1988
FF,nfl_season_player_defense_stats_1981
QBrec,nfl_season_player_passing_stats_1983
QBrec,nfl_season_player_passing_stats_2007
Ctch%,nfl_season_player_receiving_stats_1992
Ctch%,nfl_season_player_scrimmage_stats_1996
QBrec,nfl_season_player_passing_stats_2008
Ctch%,nfl_season_player_receiving_stats_2002
Ctch%,nfl_season_player_receiving_stats_2001
QBrec,nfl_season_player_passing_stats_1984
Ctch%,nfl_season_player_receiving_stats_2017
Ctch%,nfl_season_player_scrimmage_stats_2001
Ctch%,nfl_season_player_scrimmage_stats_1993
Ctch%,nfl_season_player_receiving_stats_2013
Ctch%,nfl_season_player_receiving_stats_2014
Ctch%,nfl_season_player_scrimmage_stats_2019
QBrec,nfl_season_player_passing_stats_1999
QBrec,nfl_season_player_passing_stats_1998
Ctch%,nfl_season_player_receiving_stats_2000
Ctch%,nfl_season_player_scrimmage_stats_1999
Ctch%,nfl_season_player_scrimmage_stats_2012
QBrec,nfl_season_player_passing_stats_2002
Ctch%,nfl_season_player_receiving_stats_2012
Ctch%,nfl_season_player_scrimmage_stats_2015
ATOI,nhl_playoff_player_stats_2002
ATOI,nhl_season_player_stats_2012
ATOI,nhl_season_player_stats_2010
ATOI,nhl_playoff_player_stats_2020
RgRec,nhl_season_standings_2014
ATOI,nhl_playoff_player_stats_2011
SportRadarPlayerID,nhl_all_players
ATOI,nhl_playoff_player_stats_2018
ATOI,nhl_season_player_stats_2017
ATOI,nhl_season_player_stats_2020
ATOI,nhl_playoff_player_stats_2022
ATOI,nhl_season_player_stats_2013
RgRec,nhl_season_standings_2020
ATOI,nhl_season_player_stats_2023
RgRec,nhl_season_standings_2023
ATOI,nhl_playoff_player_stats_2017
ATOI,nhl_playoff_player_stats_2004
RgRec,nhl_season_standings_2011
ATOI,nhl_playoff_player_stats_2006
ATOI,nhl_season_player_stats_2001
RgRec,nhl_season_standings_2018
ATOI,nhl_playoff_player_stats_2016
ATOI,nhl_playoff_player_stats_2003
ATOI,nhl_season_player_stats_2019
ATOI,nhl_season_player_stats_2022
ATOI,nhl_playoff_player_stats_2019
ATOI,nhl_season_player_stats_2003
ATOI,nhl_playoff_player_stats_2008
RgRec,nhl_season_standings_2010
ATOI,nhl_season_player_stats_2016
ATOI,nhl_playoff_player_stats_2021
ATOI,nhl_playoff_player_stats_2000
RgRec,nhl_season_standings_2009
ATOI,nhl_playoff_player_stats_2001
ATOI,nhl_season_player_stats_2004
ATOI,nhl_season_player_stats_2021
RgRec,nhl_season_standings_2019
ATOI,nhl_season_player_stats_2009
RgRec,nhl_season_standings_2017
ATOI,nhl_season_player_stats_2018
RgRec,nhl_season_standings_2008
ATOI,nhl_playoff_player_stats_2012
ATOI,nhl_playoff_player_stats_2007
GS,nhl_playoff_player_goalie_stats_1988
ATOI,nhl_season_player_stats_2014
ATOI,nhl_playoff_player_stats_2009
ATOI,nhl_season_player_stats_2000
RgRec,nhl_season_standings_2022
ATOI,nhl_season_player_stats_2015
ATOI,nhl_playoff_player_stats_2015
ATOI,nhl_season_player_stats_1999
ATOI,nhl_playoff_player_stats_2014
ATOI,nhl_season_player_stats_2002
RgRec,nhl_season_standings_2016
ATOI,nhl_season_player_stats_2006
ATOI,nhl_playoff_player_stats_2010
RgRec,nhl_season_standings_2007
ATOI,nhl_season_player_stats_2011
ATOI,nhl_season_player_stats_2008
ATOI,nhl_playoff_player_stats_1999
RgRec,nhl_season_standings_2013
ATOI,nhl_season_player_stats_2007
RgRec,nhl_season_standings_2012
ATOI,nhl_playoff_player_stats_2013
RgRec,nhl_season_standings_2015
RgRec,nhl_season_standings_2006
Min,Serie-A_player_stats_2006
Attendance,Premier-League_season_standings_2007
Attendance,La-Liga_season_standings_2000
Attendance,La-Liga_season_standings_2003
Attendance,Premier-League_season_standings_2008
Attendance,bundesliga_season_standings_2008
Min,bundesliga_player_stats_2006
Attendance,bundesliga_season_standings_2001
Min,bundesliga_player_stats_2009
Min,Serie-A_player_stats_2004
Min,bundesliga_player_stats_2021
Attendance,Ligue-1_season_standings_2007
Attendance,Ligue-1_season_standings_2004
Attendance,La-Liga_season_standings_2016
Min,La-Liga_player_stats_2013
Min,Ligue-1_player_stats_2011
Attendance,La-Liga_season_standings_2015
Attendance,Ligue-1_season_standings_2017
Min,Premier-League_player_stats_2014
Attendance,Serie-A_season_standings_2019
Attendance,Serie-A_season_standings_2009
Attendance,La-Liga_season_standings_1999
Attendance,bundesliga_season_standings_1999
Min,Ligue-1_player_stats_2016
Min,La-Liga_player_stats_2002
Attendance,Premier-League_season_standings_2012
Attendance,Premier-League_season_standings_2018
Min,bundesliga_player_stats_2000
Min,bundesliga_player_stats_1992
Attendance,Ligue-1_season_standings_2010
Attendance,Serie-A_season_standings_2011
Min,Ligue-1_player_stats_1998
Min,Ligue-1_player_stats_2000
Min,La-Liga_player_stats_2020
Min,Premier-League_player_stats_2018
Attendance,Premier-League_season_standings_2016
Min,Premier-League_player_stats_2001
Attendance,Serie-A_season_standings_2006
Min,Ligue-1_player_stats_2003
Attendance,Premier-League_season_standings_2014
Attendance,bundesliga_season_standings_2003
Min,Premier-League_player_stats_2000
Min,La-Liga_player_stats_2014
Attendance,Serie-A_season_standings_2016
Attendance,Serie-A_season_standings_2000
Min,Serie-A_player_stats_2005
Min,La-Liga_player_stats_2006
Attendance,Ligue-1_season_standings_2020
Attendance,La-Liga_season_standings_2011
Min,bundesliga_player_stats_1991
Min,bundesliga_player_stats_2012
Min,Serie-A_player_stats_2009
Min,Ligue-1_player_stats_2017
Min,La-Liga_player_stats_2018
Attendance,La-Liga_season_standings_2001
Attendance,La-Liga_season_standings_2008
Min,Ligue-1_player_stats_2009
Min,La-Liga_player_stats_2001
Min,La-Liga_player_stats_2007
Min,Ligue-1_player_stats_2010
Attendance,Ligue-1_season_standings_2003
Min,bundesliga_player_stats_2011
Attendance,Serie-A_season_standings_2005
Attendance,Ligue-1_season_standings_2021
Attendance,Ligue-1_season_standings_2016
Attendance,bundesliga_season_standings_2011
Min,Ligue-1_player_stats_2021
Attendance,La-Liga_season_standings_2007
Min,bundesliga_player_stats_2019
Min,La-Liga_player_stats_2005
Min,Premier-League_player_stats_2011
Min,Premier-League_player_stats_2008
Age,bundesliga_player_stats_2022
Min,La-Liga_player_stats_1998
Attendance,bundesliga_season_standings_2000
Min,Serie-A_player_stats_2007
Attendance,bundesliga_season_standings_2018
Attendance,La-Liga_season_standings_2009
Attendance,Premier-League_season_standings_2017
Min,Serie-A_player_stats_2017
Attendance,bundesliga_season_standings_2016
Attendance,Premier-League_season_standings_2021
Attendance,Serie-A_season_standings_2015
Attendance,Ligue-1_season_standings_2019
Min,Premier-League_player_stats_1998
Attendance,La-Liga_season_standings_2017
Attendance,Serie-A_season_standings_1998
Attendance,Premier-League_season_standings_1998
Attendance,Premier-League_season_standings_2001
Min,Serie-A_player_stats_2002
Min,La-Liga_player_stats_2015
Min,Ligue-1_player_stats_2014
Min,bundesliga_player_stats_2002
Min,Premier-League_player_stats_2002
Min,Premier-League_player_stats_2020
Min,bundesliga_player_stats_2016
Attendance,bundesliga_season_standings_2006
Attendance,La-Liga_season_standings_2018
Min,Premier-League_player_stats_2015
Min,La-Liga_player_stats_2011
Attendance,Serie-A_season_standings_2001
Min,Premier-League_player_stats_1999
Min,Serie-A_player_stats_2008
Attendance,Premier-League_season_standings_2000
Min,Ligue-1_player_stats_2013
Attendance,Serie-A_season_standings_2014
Min,Ligue-1_player_stats_2001
Attendance,Serie-A_season_standings_2010
Attendance,Serie-A_season_standings_2021
Attendance,bundesliga_season_standings_2021
Min,La-Liga_player_stats_2016
Attendance,bundesliga_season_standings_2022
Min,Premier-League_player_stats_2007
Attendance,Serie-A_season_standings_2017
Attendance,bundesliga_season_standings_2002
Min,bundesliga_player_stats_2020
Min,Ligue-1_player_stats_2015
Min,Ligue-1_player_stats_1999
Attendance,Serie-A_season_standings_2007
Min,La-Liga_player_stats_2004
Attendance,Ligue-1_season_standings_2014
Attendance,Ligue-1_season_standings_2001
Min,Serie-A_player_stats_2015
Attendance,Premier-League_season_standings_2006
Min,bundesliga_player_stats_1998
Attendance,Premier-League_season_standings_2011
Attendance,La-Liga_season_standings_2006
Attendance,Serie-A_season_standings_2002
Attendance,Serie-A_season_standings_2013
Attendance,La-Liga_season_standings_2014
Min,bundesliga_player_stats_2017
Min,bundesliga_player_stats_1999
Min,bundesliga_player_stats_2008
Min,Serie-A_player_stats_2016
Attendance,Premier-League_season_standings_2010
Min,Serie-A_player_stats_2020
Min,bundesliga_player_stats_2010
Min,bundesliga_player_stats_2005
Attendance,Premier-League_season_standings_2005
Attendance,Premier-League_season_standings_2013
Min,Ligue-1_player_stats_2007
Min,bundesliga_player_stats_2014
Min,Premier-League_player_stats_2010
Attendance,Ligue-1_season_standings_2008
Attendance,Premier-League_season_standings_2015
Min,Premier-League_player_stats_2019
Attendance,bundesliga_season_standings_2004
Attendance,bundesliga_season_standings_2013
Attendance,Ligue-1_season_standings_2018
Min,Serie-A_player_stats_2019
Min,Premier-League_player_stats_2003
Min,Ligue-1_player_stats_2018
Min,Ligue-1_player_stats_2008
Attendance,Ligue-1_season_standings_2002
Attendance,Serie-A_season_standings_2008
Min,Serie-A_player_stats_2000
Min,bundesliga_player_stats_2018
Min,bundesliga_player_stats_1994
Min,La-Liga_player_stats_2010
Attendance,Premier-League_season_standings_2002
Min,bundesliga_player_stats_2015
Attendance,Premier-League_season_standings_2019
Min,Ligue-1_player_stats_2019
Min,Ligue-1_player_stats_2006
Min,Ligue-1_player_stats_2002
Min,Serie-A_player_stats_2013
Min,La-Liga_player_stats_2012
Min,Premier-League_player_stats_2006
Attendance,bundesliga_season_standings_2014
Min,bundesliga_player_stats_1995
Min,La-Liga_player_stats_2019
Attendance,Serie-A_season_standings_2018
Min,La-Liga_player_stats_2021
Attendance,Ligue-1_season_standings_2012
Min,bundesliga_player_stats_2004
Attendance,La-Liga_season_standings_2004
Min,Ligue-1_player_stats_2005
Attendance,Serie-A_season_standings_2004
Attendance,bundesliga_season_standings_2015
Attendance,Premier-League_season_standings_2003
Attendance,Ligue-1_season_standings_2009
Attendance,Premier-League_season_standings_2004
Min,La-Liga_player_stats_2000
Min,bundesliga_player_stats_2003
Attendance,Ligue-1_season_standings_2013
Min,Premier-League_player_stats_2017
Min,Serie-A_player_stats_2018
Min,Serie-A_player_stats_2010
Attendance,La-Liga_season_standings_2021
Attendance,bundesliga_season_standings_2012
Attendance,La-Liga_season_standings_2019
Attendance,bundesliga_season_standings_2017
Attendance,Ligue-1_season_standings_2015
Min,Premier-League_player_stats_2012
Min,La-Liga_player_stats_2008
Min,bundesliga_player_stats_1993
Min,La-Liga_player_stats_2003
Attendance,Premier-League_season_standings_1999
Attendance,Ligue-1_season_standings_2011
Min,La-Liga_player_stats_2017
Min,Serie-A_player_stats_2021
Attendance,La-Liga_season_standings_2002
Min,Ligue-1_player_stats_2020
Attendance,Ligue-1_season_standings_2005
Attendance,bundesliga_season_standings_2007
Min,Premier-League_player_stats_2009
Attendance,Ligue-1_season_standings_1999
Min,Premier-League_player_stats_2005
Min,La-Liga_player_stats_2009
Min,Premier-League_player_stats_2021
Attendance,Serie-A_season_standings_2012
Min,bundesliga_player_stats_1996
Min,Ligue-1_player_stats_2012
Min,Serie-A_player_stats_2001
Min,bundesliga_player_stats_2007
Min,La-Liga_player_stats_1999
Min,Premier-League_player_stats_2004
Min,bundesliga_player_stats_1990
Attendance,Serie-A_season_standings_1999
Min,bundesliga_player_stats_2013
Attendance,La-Liga_season_standings_2012
Min,Serie-A_player_stats_2014
Attendance,Premier-League_season_standings_2009
Attendance,Ligue-1_season_standings_2006
Attendance,bundesliga_season_standings_2005
Attendance,bundesliga_season_standings_2019
Attendance,La-Liga_season_standings_2010
Min,Serie-A_player_stats_1998
Min,Premier-League_player_stats_2016
Min,Serie-A_player_stats_2011
Min,Ligue-1_player_stats_2004
Min,bundesliga_player_stats_2001
Min,Serie-A_player_stats_2003
Min,Premier-League_player_stats_2013
Attendance,Serie-A_season_standings_2003
Attendance,bundesliga_season_standings_2009
Attendance,La-Liga_season_standings_2013
Attendance,La-Liga_season_standings_2005
Min,bundesliga_player_stats_1997
Attendance,bundesliga_season_standings_2010
Attendance,Ligue-1_season_standings_2000
